Time: ISBN: Retail-Price: Lowest-Used-Price: Lowest-New-Price: Sales-Rank 
2016/03/23:17:37:40 1137327537 2159 1811 2105 35846
2016/03/23:18:48:40 1137327537 2159 1754 2105 45098
2016/03/23:19:57:19 1137327537 2159 1754 2105 45175
2016/03/23:21:10:05 1137327537 2159 1754 2105 45175
2016/03/23:21:58:41 1137327537 2159 1754 2105 59464
2016/03/23:22:55:27 1137327537 2159 1754 2105 59464
2016/03/24:07:42:45 1137327537 2159 1790 2105 91344
2016/03/24:09:51:07 1137327537 2159 1790 2105 88985
2016/03/24:10:55:39 1137327537 2159 1770 2105 88011
2016/03/24:12:06:13 1137327537 2159 1770 2105 88288
2016/03/24:13:50:36 1137327537 2159 1770 2016 85445
2016/03/24:15:00:37 1137327537 2159 1770 2015 87890
2016/03/24:16:45:30 1137327537 2159 1770 2015 87992
2016/03/24:18:31:56 1137327537 2159 1754 2015 92633
2016/03/24:20:41:59 1137327537 2159 1736 2015 95453
2016/03/24:22:45:10 1137327537 2159 1736 2015 94412
2016/03/25:07:36:27 1137327537 2159 1723 2015 123260
2016/03/25:09:11:43 1137327537 2159 1723 2015 130168
2016/03/25:21:38:39 1137327537 2159 1723 2016 142352
2016/03/26:09:54:40 1137327537 2159 1723 2105 152457
2016/03/26:13:12:20 1137327537 2159 1723 2104 151206
2016/03/26:17:49:06 1137327537 2159 1723 2016 151209
2016/03/26:20:19:38 1137327537 2159 1723 2015 154495
2016/03/27:13:42:02 1137327537 2159 1723 2015 55652
2016/03/28:18:22:51 1137327537 2159 1706 2015 56607
2016/03/28:20:12:55 1137327537 2159 1706 2015 65043
2016/03/28:21:16:49 1137327537 2159 1706 2015 73364
2016/03/29:06:27:45 1137327537 2159 1706 2015 106639
2016/03/29:07:35:26 1137327537 2159 1706 2015 106639
2016/03/29:10:43:47 1137327537 2159 1706 2015 113278
2016/03/29:15:00:36 1137327537 2159 1706 2015 114261
2016/03/29:16:15:32 1137327537 2159 1706 2015 115649
2016/03/29:19:11:19 1137327537 2159 1706 2015 122276
2016/03/29:21:33:28 1137327537 2159 1706 2015 25187
2016/03/30:09:02:51 1137327537 2159 1706 2015 28605
2016/03/30:13:16:44 1137327537 2159 1706 2104 32077
2016/03/30:15:41:35 1137327537 2159 1706 2015 34782
2016/03/30:16:24:13 1137327537 2159 1706 2015 34783
2016/03/30:18:42:38 1137327537 2159 1706 2016 53238
2016/03/30:20:51:18 1137327537 2159 1706 2015 68289
2016/03/31:06:49:23 1137327537 2159 1706 2015 89046
2016/03/31:08:34:39 1137327537 2159 1706 2015 100178
2016/03/31:09:22:49 1137327537 2159 1706 2105 100178
2016/03/31:12:22:49 1137327537 2159 1706 2015 96721
2016/03/31:13:29:07 1137327537 2159 1706 2015 96774
2016/03/31:14:19:15 1137327537 2159 1706 2015 96774
2016/03/31:16:13:43 1137327537 2159 1706 2015 101048
2016/03/31:21:00:18 1137327537 2159 1706 2015 111891
2016/04/01:07:10:08 1137327537 2159 1689 2015 133924
2016/04/01:08:20:54 1137327537 2159 1689 2015 135011
2016/04/01:09:10:27 1137327537 2159 1706 2015 135011
2016/04/01:16:13:40 1137327537 2159 1706 2016 144635
2016/04/01:17:20:27 1137327537 2159 1706 2015 144635
2016/04/01:18:19:24 1137327537 2159 1706 2015 144635
2016/04/01:19:17:29 1137327537 2159 1706 2015 151179
2016/04/01:21:09:26 1137327537 2159 1706 2015 156923
2016/04/01:22:20:04 1137327537 2159 1706 2015 156923
2016/04/02:07:56:19 1137327537 2159 1706 2104 26742
2016/04/02:09:08:14 1137327537 2159 1706 2104 26746
2016/04/02:19:47:59 1137327537 2159 1706 2016 62014
2016/04/02:22:16:18 1137327537 2159 1706 2016 71618
2016/04/03:08:44:52 1137327537 2159 1706 2105 106094
2016/04/03:09:39:04 1137327537 2159 1706 2105 106308
2016/04/04:19:34:13 1137327537 2159 1706 2015 78324
2016/04/04:22:15:08 1137327537 2159 1706 2015 90102
2016/04/05:06:45:26 1137327537 2159 1706 2015 41480
2016/04/05:14:55:24 1137327537 2159 1706 2015 22071
2016/04/05:15:47:58 1137327537 2159 1706 2015 27350
2016/04/05:21:26:19 1137327537 2159 1706 2015 46947
2016/04/06:06:43:10 1137327537 2159 1706 2015 29345
2016/04/06:10:29:46 1137327537 2159 1706 2015 32232
2016/04/06:14:16:04 1137327537 2159 1706 2015 38005
2016/04/06:22:39:32 1137327537 2159 1706 2015 26159
2016/04/07:07:02:33 1137327537 2159 1706 2015 48040
2016/04/07:17:09:00 1137327537 2159 1723 2015 57999
2016/04/07:18:25:33 1137327537 2159 1723 2015 68107
2016/04/08:10:09:58 1137327537 2159 1766 2015 105158
2016/04/09:07:40:49 1137327537 2159 1786 2015 132658
2016/04/10:06:46:58 1137327537 2159 1766 2015 164743
2016/04/10:08:19:05 1137327537 2159 1766 2015 163187
2016/04/10:09:55:51 1137327537 2159 1787 2015 163188
2016/04/10:10:30:19 1137327537 2159 1787 2015 160536
2016/04/10:11:07:43 1137327537 2159 1786 2015 160536
2016/04/10:15:56:59 1137327537 2159 1786 2015 159760
2016/04/10:21:25:52 1137327537 2159 1754 2015 165552
2016/04/11:00:43:41 1137327537 2159 1754 2015 174416
2016/04/11:06:31:16 1137327537 2159 1786 2105 52904
2016/04/11:08:32:02 1137327537 2159 1786 2104 57692
2016/04/11:12:44:40 1137327537 2159 1766 2105 63727
2016/04/12:06:53:26 1137327537 2159 1733 2015 68124
2016/04/12:07:55:18 1137327537 2159 1733 2015 68302
2016/04/12:09:14:59 1137327537 2159 1733 2015 66651
2016/04/12:12:52:26 1137327537 2159 1766 2015 65365
2016/04/12:21:22:25 1137327537 2159 1754 2013 28094
2016/04/13:08:01:05 1137327537 2159 1733 1330 62759
2016/04/13:11:15:19 1137327537 2159 1733 1330 60939
2016/04/13:14:54:54 1137327537 2159 1723 1322 65243
2016/04/13:15:46:51 1137327537 2159 1723 1322 65269
2016/04/14:06:33:43 1137327537 2159 1723 1322 56471
2016/04/14:08:23:09 1137327537 2159 1723 1322 54946
2016/04/14:09:15:33 1137327537 2159 1723 1322 54946
2016/04/15:11:45:01 1137327537 2159 1723 2093 62377
2016/04/17:18:56:01 1137327537 2159 1706 2024 73285
2016/04/17:21:39:26 1137327537 2159 1706 2024 81580
2016/04/18:07:50:46 1137327537 2159 1706 2024 42748
2016/04/18:09:13:40 1137327537 2159 1706 2024 43575
2016/11/27:12:06:34 1137327537 2159 1629 1800 184851
2016/12/22:10:12:38 1137327537 2159 1629 1800 43518
2016/12/22:12:07:58 1137327537 2159 1629 1800 53699
2016/12/24:17:46:06 1137327537 2159 1629 1800 169326
2016/12/24:20:14:47 1137327537 2159 1629 1800 172177
2016/12/24:23:05:53 1137327537 2159 1629 1800 174665
2016/12/25:11:18:26 1137327537 2159 1629 1799 179564
2016/12/25:20:47:22 1137327537 2159 1629 1799 188321
2016/12/26:14:58:14 1137327537 2159 1629 1799 197253
2016/12/26:16:40:59 1137327537 2159 1629 1799 201030
2016/12/26:18:40:45 1137327537 2159 1629 1799 202370
2016/12/27:00:10:54 1137327537 2159 1629 1799 213496
2016/12/27:01:10:46 1137327537 2159 1629 1799 213496
2016/12/27:02:10:43 1137327537 2159 1629 1799 217270
2016/12/27:03:10:48 1137327537 2159 1629 1799 218635
2016/12/27:04:10:49 1137327537 2159 1629 1800 218635
2016/12/27:05:10:48 1137327537 2159 1629 1800 220060
2016/12/27:08:10:52 1137327537 2159 1629 1800 220067
2016/12/27:09:10:50 1137327537 2159 1629 1800 219701
2016/12/27:10:10:54 1137327537 2159 1629 1800 219701
2016/12/27:11:10:48 1137327537 2159 1629 1800 219837
2016/12/27:12:10:56 1137327537 2159 1629 1800 220116
2016/12/27:13:10:47 1137327537 2159 1629 1800 220116
2016/12/27:14:10:53 1137327537 2159 1629 1800 223304
2016/12/27:16:10:47 1137327537 2159 1629 1800 225084
2016/12/27:17:10:50 1137327537 2159 1629 1800 27751
2016/12/27:18:10:47 1137327537 2159 1629 1800 27751
